point,reading,temp,tn
1,10.2,10,K6_0525
2,9.8,10,K6_0525
3,10.2,10,K6_0525
4,10.3,10,K6_0525
5,10.3,10,K6_0525
6,10.2,10,K6_0525
1,500.1,500,K6_0525
2,499.9,500,K6_0525
3,500.1,500,K6_0525
4,500.3,500,K6_0525
5,500.3,500,K6_0525
6,500.1,500,K6_0525
1,999.8,1000,K6_0525
2,999.8,1000,K6_0525
3,999.9,1000,K6_0525
4,1000.1,1000,K6_0525
5,1000.1,1000,K6_0525
6,999.9,1000,K6_0525
1,1499.7,1500,K6_0525
2,1499.8,1500,K6_0525
3,1499.7,1500,K6_0525
4,1500,1500,K6_0525
5,1500,1500,K6_0525
6,1499.9,1500,K6_0525
1,1999.9,2000,K6_0525
2,2000.1,2000,K6_0525
3,1999.9,2000,K6_0525
4,2000.3,2000,K6_0525
5,2000.4,2000,K6_0525
6,2000.2,2000,K6_0525
1,2289.8,2290,K6_0525
2,2290,2290,K6_0525
3,2289.7,2290,K6_0525
4,2290.3,2290,K6_0525
5,2290.4,2290,K6_0525
6,2290.1,2290,K6_0525
7,10.2,10,K6_0525
8,10.2,10,K6_0525
9,10.5,10,K6_0525
10,10.2,10,K6_0525
11,10.3,10,K6_0525
12,10.2,10,K6_0525
7,500,500,K6_0525
8,500.2,500,K6_0525
9,500.5,500,K6_0525
10,500.1,500,K6_0525
11,500.3,500,K6_0525
12,500.2,500,K6_0525
7,999.8,1000,K6_0525
8,999.9,1000,K6_0525
9,1000.3,1000,K6_0525
10,999.9,1000,K6_0525
11,1000.3,1000,K6_0525
12,1000.1,1000,K6_0525
7,1499.5,1500,K6_0525
8,1499.8,1500,K6_0525
9,1500.1,1500,K6_0525
10,1499.8,1500,K6_0525
11,1500.2,1500,K6_0525
12,1499.9,1500,K6_0525
7,1999.7,2000,K6_0525
8,2000,2000,K6_0525
9,2000.4,2000,K6_0525
10,2000.1,2000,K6_0525
11,2000.7,2000,K6_0525
12,2000.3,2000,K6_0525
7,2289.5,2290,K6_0525
8,2289.9,2290,K6_0525
9,2290.3,2290,K6_0525
10,2290.1,2290,K6_0525
11,2290.7,2290,K6_0525
12,2290.2,2290,K6_0525
13,10.2,10,K6_0525
14,10.2,10,K6_0525
15,10.3,10,K6_0525
16,10.2,10,K6_0525
17,10.1,10,K6_0525
18,10.2,10,K6_0525
13,500.1,500,K6_0525
14,500.4,500,K6_0525
15,500.3,500,K6_0525
16,500.1,500,K6_0525
17,500.1,500,K6_0525
18,500.2,500,K6_0525
13,999.9,1000,K6_0525
14,1000.4,1000,K6_0525
15,1000.3,1000,K6_0525
16,1000,1000,K6_0525
17,1000.1,1000,K6_0525
18,1000.2,1000,K6_0525
13,1499.7,1500,K6_0525
14,1500.5,1500,K6_0525
15,1500.3,1500,K6_0525
16,1499.9,1500,K6_0525
17,1500,1500,K6_0525
18,1500.1,1500,K6_0525
13,1999.8,2000,K6_0525
14,2001,2000,K6_0525
15,2000.3,2000,K6_0525
16,1999.7,2000,K6_0525
17,1999.9,2000,K6_0525
18,1999.9,2000,K6_0525
13,2289.7,2290,K6_0525
14,2291,2290,K6_0525
15,2290.4,2290,K6_0525
16,2289.7,2290,K6_0525
17,2289.9,2290,K6_0525
18,2289.9,2290,K6_0525
19,10.2,10,K6_0525
20,10.1,10,K6_0525
21,10.2,10,K6_0525
22,10.1,10,K6_0525
23,10.2,10,K6_0525
24,10.1,10,K6_0525
19,500.1,500,K6_0525
20,500.1,500,K6_0525
21,500.1,500,K6_0525
22,500.1,500,K6_0525
23,500.2,500,K6_0525
24,500.1,500,K6_0525
19,1000.1,1000,K6_0525
20,1000.2,1000,K6_0525
21,1000.1,1000,K6_0525
22,1000.2,1000,K6_0525
23,1000.1,1000,K6_0525
24,1000.1,1000,K6_0525
19,1500,1500,K6_0525
20,1500.1,1500,K6_0525
21,1500,1500,K6_0525
22,1500.1,1500,K6_0525
23,1500,1500,K6_0525
24,1500.1,1500,K6_0525
19,1999.7,2000,K6_0525
20,2000,2000,K6_0525
21,1999.8,2000,K6_0525
22,2000,2000,K6_0525
23,1999.9,2000,K6_0525
24,2000,2000,K6_0525
19,2289.7,2290,K6_0525
20,2290,2290,K6_0525
21,2289.8,2290,K6_0525
22,2290,2290,K6_0525
23,2289.9,2290,K6_0525
24,2290,2290,K6_0525
25,10.1,10,K6_0525
26,10.1,10,K6_0525
27,10.1,10,K6_0525
28,10.1,10,K6_0525
29,10,10,K6_0525
30,9.8,10,K6_0525
25,500.1,500,K6_0525
26,500.1,500,K6_0525
27,499.9,500,K6_0525
28,500.1,500,K6_0525
29,500,500,K6_0525
30,499.9,500,K6_0525
25,1000.1,1000,K6_0525
26,1000.1,1000,K6_0525
27,999.9,1000,K6_0525
28,1000,1000,K6_0525
29,999.9,1000,K6_0525
30,1000,1000,K6_0525
25,1500,1500,K6_0525
26,1500.1,1500,K6_0525
27,1499.8,1500,K6_0525
28,1500,1500,K6_0525
29,1500,1500,K6_0525
30,1500.1,1500,K6_0525
25,1999.9,2000,K6_0525
26,1999.8,2000,K6_0525
27,1999.5,2000,K6_0525
28,1999.8,2000,K6_0525
29,2000,2000,K6_0525
30,2000.1,2000,K6_0525
25,2289.9,2290,K6_0525
26,2289.8,2290,K6_0525
27,2289.5,2290,K6_0525
28,2289.8,2290,K6_0525
29,2289.9,2290,K6_0525
30,2290.1,2290,K6_0525
31,9.9,10,K6_0525
32,9.9,10,K6_0525
33,10,10,K6_0525
34,10.1,10,K6_0525
35,9.9,10,K6_0525
36,9.9,10,K6_0525
31,499.9,500,K6_0525
