,,,,,,,,,,,,,,,,,,asset_description,asset_id,asset_maker,asset_name,asset_tag,asset_user,category_name,custodian_first_name,custodian_last_name,department,manufacturer_part_number,notes,product_description,product_manufacturer,product_name,root_category_name,serial_number
,,,,,,,,,,,,,,,,,,"=_xlfn._xlws.FILTER(AssetPool[asset_description], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[asset_id], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[asset_maker], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[asset_name], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[asset_tag], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[asset_user], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[category_name], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[custodian_first_name], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[custodian_last_name], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[department], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[manufacturer_part_number], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[notes], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[product_description], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[product_manufacturer], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[product_name], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[root_category_name], AssetPool[root_category_name]=""DAQ Modules"")","=_xlfn._xlws.FILTER(AssetPool[serial_number], AssetPool[root_category_name]=""DAQ Modules"")"
,,,,,,,,,,,,,,,,,,"DaqBook 2005, with connections for 40 type ""J"" thermocouples.",1235682,IOtech,Data Acquisition System - DAQBOOK/2005 - 806337,J2,0,Data Acquisition System,0,0,Pyrometry Department,DaqBook/2005,Calibrate against primary or secondary standard instrument in accordance with WP4102.,,IOtech,IOT DaqBook/2005 Multifunction Data Acquisition System,DAQ Modules,806337
,,,,,,,,,,,,,,,,,,"DaqBook 2005, with connections for 40 type ""J"" thermocouples.",1235630,IOtech,Data Acquisition System - DAQBOOK/2005 - 807705,J3,0,Data Acquisition System,0,0,Pyrometry Department,DaqBook/2005,Per WP4102. Calibrate against primary or secondary standard instrument.,,IOtech,IOT DaqBook/2005 Multifunction Data Acquisition System,DAQ Modules,807705
,,,,,,,,,,,,,,,,,,"DaqBook 2005, with connections for 40 type ""K"" thermocouples",1235686,IOtech,Data Acquisition System - DAQBOOK/2005 - 807409,K4,0,Data Acquisition System,0,0,Pyrometry Department,DaqBook/2005,Calibrate against primary or secondary standard instrument in accordance with WP4102.,,IOtech,IOT DaqBook/2005 Multifunction Data Acquisition System,DAQ Modules,807409
,,,,,,,,,,,,,,,,,,"Daqbook 2005 with 28 type ""K"" Thermocouples. S/N 808005 U/N K5",1235543,IOtech,Data Acquisition System - DAQBOOK/2005,K5,0,Data Acquisition System,0,0,Pyrometry Department,DaqBook/2005,Calibrate against any primary or secondary standard instrument and in accordance with WP4100.,,IOtech,IOT DaqBook/2005 Multifunction Data Acquisition System,DAQ Modules,808005
,,,,,,,,,,,,,,,,,,"Daqbook 2005 with 40 type ""K"" Thermocouples. S/N 808173 U/N K6",1235622,IOtech,Data Acquisition System - DAQBOOK/2005 - 808173,K6,0,Data Acquisition System,0,0,Pyrometry Department,DaqBook/2005,Calibrate against any primary or secondary standard instrument and in accordance with WP4100.,,IOtech,IOT DaqBook/2005 Multifunction Data Acquisition System,DAQ Modules,808173
,,,,,,,,,,,,,,,,,,"Daqbook with 28 type ""K"" Thermocouples. S/N 22500C0 U/N K7",2884452,MCCDAQ,Data Acquisition System - MCCDAQ- 22500C0,K7,0,Data Acquisition System,0,0,Pyrometry Department,DaqBook/2005,Calibrate against any primary or secondary standard instrument and in accordance with WP4100.,,IOtech,IOT DaqBook/2005 Multifunction Data Acquisition System,DAQ Modules,22500C0
,,,,,,,,,,,,,,,,,,"Daqbook 2000 with connections for 28 type ""N"" thermocouples. S/N 808004 U/N N2",1235561,IOtech,Data Acquisition System - DAQBOOK/2000 - 808004,N2,0,Data Acquisition System,0,0,Pyrometry Department,DaqBook/2005,Calibrate against primary or secondary standard instrument and In accordance with WP4102.,,IOtech,IOT DaqBook/2005 Multifunction Data Acquisition System,DAQ Modules,808004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
