Temp,Point,RawValue,Delta
-100,1,-99.8,-0.2
-100,2,-99.9,-0.1
-100,3,-99.8,-0.2
-100,4,-99.9,-0.1
-100,5,-100,0
-100,6,-99.9,-0.1
-100,7,-99.9,-0.1
-100,8,-100,0
-100,9,-99.7,-0.3
-100,10,-100.1,0.1
-100,11,-99.8,-0.2
-100,12,-100.1,0.1
-100,13,-100,0
-100,14,-100.1,0.1
-100,15,-100.1,0.1
-100,16,-100,0
-100,17,-100.2,0.2
-100,18,-99.8,-0.2
-100,19,-100.1,0.1
-100,20,-100.1,0.1
-100,21,-100.1,0.1
-100,22,-100,0
-100,23,-100.2,0.2
-100,24,-99.8,-0.2
-100,25,-99.9,-0.1
-100,26,-100,0
-100,27,-100.2,0.2
-100,28,-100.1,0.1
-100,29,-100.2,0.2
-100,30,-100.2,0.2
-100,31,-100.1,0.1
-100,32,-100,0
-100,33,-100.2,0.2
-100,34,-100.2,0.2
-100,35,-100.2,0.2
-100,36,-100.3,0.3
-100,37,-100.5,0.5
-100,38,-100.1,0.1
-100,39,-99.8,-0.2
-100,40,-99.9,-0.1
-50,1,-49.8,-0.2
-50,2,-49.9,-0.1
-50,3,-49.8,-0.2
-50,4,-49.9,-0.1
-50,5,-50,0
-50,6,-49.9,-0.1
-50,7,-50,0
-50,8,-50,0
-50,9,-49.7,-0.3
-50,10,-50.1,0.1
-50,11,-49.8,-0.2
-50,12,-50.1,0.1
-50,13,-50.1,0.1
-50,14,-50.1,0.1
-50,15,-50.1,0.1
-50,16,-49.9,-0.1
-50,17,-49.9,-0.1
-50,18,-49.9,-0.1
-50,19,-49.9,-0.1
-50,20,-50.1,0.1
-50,21,-49.9,-0.1
-50,22,-49.9,-0.1
-50,23,-50.2,0.2
-50,24,-49.8,-0.2
-50,25,-49.9,-0.1
-50,26,-49.8,-0.2
-50,27,-50.1,0.1
-50,28,-50.1,0.1
-50,29,-50.1,0.1
-50,30,-50,0
-50,31,-49.9,-0.1
-50,32,-50,0
-50,33,-50.1,0.1
-50,34,-50.2,0.2
-50,35,-50.1,0.1
-50,36,-50.2,0.2
-50,37,-50.3,0.3
-50,38,-49.8,-0.2
-50,39,-50,0
-50,40,-50,0
0,1,-0.1,0.1
0,2,0,0
0,3,-0.2,0.2
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0.1,-0.1
0,9,-0.3,0.3
0,10,0.1,-0.1
0,11,-0.2,0.2
0,12,-0.1,0.1
0,13,0.1,-0.1
0,14,-0.2,0.2
0,15,-0.2,0.2
0,16,0.1,-0.1
0,17,-0.1,0.1
0,18,0.1,-0.1
0,19,0,0
0,20,-0.1,0.1
0,21,0,0
0,22,0.1,-0.1
0,23,-0.1,0.1
0,24,0,0
0,25,0,0
0,26,0.1,-0.1
0,27,-0.1,0.1
0,28,0,0
0,29,0.1,-0.1
0,30,0.1,-0.1
0,31,0.2,-0.2
0,32,0.2,-0.2
0,33,0.1,-0.1
0,34,0.1,-0.1
0,35,0.1,-0.1
0,36,0.1,-0.1
0,37,0.3,-0.3
0,38,0.2,-0.2
0,39,0.2,-0.2
0,40,0.2,-0.2
250,1,249.8,0.2
250,2,249.9,0.1
250,3,249.9,0.1
250,4,250,0
250,5,249.9,0.1
250,6,250,0
250,7,249.9,0.1
250,8,249.9,0.1
250,9,249.8,0.2
250,10,249.9,0.1
250,11,249.9,0.1
250,12,249.8,0.2
