id,name,model_number__c,CategoryName,AssetTag,SerialNumber,,id,name,,id,name,,id,name,Revision_Date__c,Current_Revision__c,Tool__c
a0K1400000OaSdnEAF,"Calibrator, Digital - Fluke 726 Field Calibrator, Digital - 9546011","Fluke 726 Field Calibrator, Digital","Calibrator, Digital",FC14,9546011,,a0t1O00000COcLdQAL,TUS Statement - without BAC,,0121O0000018IHWQA2,Temperature Uniformity Survey,,a0o1O00000FsLJSQA3,40100,2018-01-02 00:00:00,B,Furnace
a0Ka000000B2XoCEAV,"Calibrator, Digital - Fluke 726 Field Potentiometer - 1139027",Fluke 726 Field Potentiometer,"Calibrator, Digital",FC5,1139027,,a0t1O00000AiyI7QAJ,TUS Statement - with BAC,,,,,,,,,
a0K1400000Lasd4EAB,"Calibrator, Digital - Fluke 726 Field Potentiometer - 1611806",Fluke 726 Field Potentiometer,"Calibrator, Digital",FC9,1611806,,,,,,,,,,,,
a0Ka000000AS05VEAT,"Calibrator, Digital - Fluke 726 Field Potentiometer - 1880060",Fluke 726 Field Potentiometer,"Calibrator, Digital",FC6,1880060,,,,,,,,,,,,
a0K1400000MKGQrEAP,"Calibrator, Digital - Fluke 726 Field Potentiometer - 2916025",Fluke 726 Field Potentiometer,"Calibrator, Digital",FC10,2916025,,,,,,,,,,,,
a0K1400000MbanfEAB,"Calibrator, Digital - Fluke 726 Field Potentiometer - 2919050",Fluke 726 Field Potentiometer,"Calibrator, Digital",FC11,2919050,,,,,,,,,,,,
a0K1400000NOx4DEAT,"Calibrator, Digital - Fluke 726 Field Potentiometer - 9491033",Fluke 726 Field Potentiometer,"Calibrator, Digital",FC12,9491033,,,,,,,,,,,,
a0Ka000000AS1aQEAT,"Calibrator, Digital - Fluke 726 Field Potentiometer - 9728087",Fluke 726 Field Potentiometer,"Calibrator, Digital",FC7,9728087,,,,,,,,,,,,
a0K1O00000V4dHxUAJ,Customer Pyro - See Additional Sheets - Customer,See Additional Sheets,Customer Pyro,,Customer,,,,,,,,,,,,
a0Ka0000009qNssEAE,Data Acquisition System - DAQBOOK/2005 - 806337(J2),DAQBOOK/2005,Data Acquisition System,J2,806337(J2),,,,,,,,,,,,
a0Ka000000DMPkZEAX,Data Acquisition System - DAQBOOK/2005 - 807408 (J1),DAQBOOK/2005,Data Acquisition System,J1,807408 (J1),,,,,,,,,,,,
a0Ka0000009qNqHEAU,Data Acquisition System - DAQBOOK/2005 - 807409(K4),DAQBOOK/2005,Data Acquisition System,K4,807409(K4),,,,,,,,,,,,
a0Ka0000009qO0lEAE,Data Acquisition System - DAQBOOK/2005 - 807702 (N1),DAQBOOK/2005,Data Acquisition System,N1,807702 (N1),,,,,,,,,,,,
a0Ka000000DLSmHEAX,Data Acquisition System - DAQBOOK/2005 - 807705 (J3),DAQBOOK/2005,Data Acquisition System,J3,807705 (J3),,,,,,,,,,,,
a0Ka000000FTLZ9EAP,Data Acquisition System - DAQBOOK/2005 - 808004 (N2),DAQBOOK/2005,Data Acquisition System,N2,808004 (N2),,,,,,,,,,,,
a0Ka000000HFPIfEAP,Data Acquisition System - DAQBOOK/2005 - 808005(K5),DAQBOOK/2005,Data Acquisition System,K5,808005(K5),,,,,,,,,,,,
a0K1400000Oc9EpEAJ,Data Acquisition System - DAQBOOK/2005 - 808173 (K6),DAQBOOK/2005,Data Acquisition System,K6,808173 (K6),,,,,,,,,,,,
a0K1O00000Zbr5aUAB,"Hygrometer - Vaisala HMI41 & HMP46 - G1321291, G1950001",Vaisala HMI41 & HMP46,Hygrometer,HYG4,"G1321291, G1950001",,,,,,,,,,,,
a0Ka000000AT68kEAD,"Hygrometer - Vaisala HMI41 & HMP46 - H1931085, H2330003",Vaisala HMI41 & HMP46,Hygrometer,HYG3,"H1931085, H2330003",,,,,,,,,,,,
a0Ka000000AfWunEAF,Manometer - Meriam D0020IW - 190830-A1,Meriam D0020IW,Manometer,MAN1,190830-A1,,,,,,,,,,,,
a0Ka000000DLMuyEAH,"Pressure Gage, Digital - Crystal Digital 500PSIXP2I - 355114",Crystal Digital 500PSIXP2I,"Pressure Gage, Digital",PRG3,355114,,,,,,,,,,,,
a0Ka000000AsbP8EAJ,Radiometer - PMA2100 - 12799,PMA2100,Radiometer,RAD1,12799,,,,,,,,,,,,
a0K1O00000fy2iSUAQ,"Resident SAT Probe Set - Custom - 259096A, 259096B, 259096C",Custom,Resident SAT Probe Set,RSAT1,"259096A, 259096B, 259096C",,,,,,,,,,,,
a0K1400000RVmtfEAD,Resistor Calibration Kit - Atlas Ci3000 Weather-Ometer Calibration Kit - RCK1,Atlas Ci3000 Weather-Ometer Calibration Kit,Resistor Calibration Kit,RCK1,RCK1,,,,,,,,,,,,
a0K1O00000hKTBYUA4,"SAT Probes for Max Aero - Type ""N"" - 259096A, 259096B, 259096C","Type ""N""",SAT Probes for Max Aero,MASAT,"259096A, 259096B, 259096C",,,,,,,,,,,,
a0Ka000000FQc3zEAD,Thermo-hygrometer - ACU-RITE No. 00309SBDI - JGIJS02 (KF),ACU-RITE No. 00309SBDI,Thermo-hygrometer,THG19,JGIJS02 (KF),,,,,,,,,,,,
a0Ka000000DLa9HEAT,Thermo-hygrometer - ACU-RITE No. 00309SBDI - JGITH577 (AW),ACU-RITE No. 00309SBDI,Thermo-hygrometer,THG4 (AW),JGITH577 (AW),,,,,,,,,,,,
a0Ka000000BkoGKEAZ,Thermo-hygrometer - Brookstone - JGI-EJ-BR1 (DT),Brookstone,Thermo-hygrometer,THG8,JGI-EJ-BR1 (DT),,,,,,,,,,,,
a0Ka000000BAgI0EAL,Thermo-hygrometer - Radio Shack 63-1032 - 02A04-2 (EW),Radio Shack 63-1032,Thermo-hygrometer,THG6,02A04-2 (EW),,,,,,,,,,,,
a0Ka000000JJgEPEA1,Thermo-hygrometer - SEOH - THG20 (RL),SEOH,Thermo-hygrometer,THG20,THG20 (RL),,,,,,,,,,,,
a0Ka000000JJgEjEAL,Thermo-hygrometer - SEOH - THG22 (MC),SEOH,Thermo-hygrometer,THG22,THG22 (MC),,,,,,,,,,,,
a0Ka000000JJgEUEA1,Thermo-hygrometer - SEOH 840-10 - THG21 (AW),SEOH 840-10,Thermo-hygrometer,THG21,THG21 (AW),,,,,,,,,,,,
a0K1400000NFborEAD,"Thermocouple Probe -  - JQSS-18U-18, -12A, -12B",,Thermocouple Probe,JQSS-18U,"JQSS-18U-18, -12A, -12B",,,,,,,,,,,,
a0K1400000OJliiEAD,Thermocouple Probe Set -  - SAT Probes,,Thermocouple Probe Set,SAT1,SAT Probes,,,,,,,,,,,,
a0K1O00000YHnWbUAL,"Thermocouple Probes - ""J"" Iron-Constantan - LTS4","""J"" Iron-Constantan",Thermocouple Probes,LTS4,LTS4,,,,,,,,,,,,
a0K1O00000YHnjVUAT,"Thermocouple Probes - ""J"" Iron-Constantan - LTS4","""J"" Iron-Constantan",Thermocouple Probes,LTS4,LTS4,,,,,,,,,,,,
a0K1O00000bNXoSUAW,"Thermocouple Probes - ""J"" Iron-Constantan - LTS5","""J"" Iron-Constantan",Thermocouple Probes,LTS5,LTS5,,,,,,,,,,,,
a0Ka000000CKp30EAD,"Thermocouple Probes - ""J"" Iron-Constantan - TP120 Probes","""J"" Iron-Constantan",Thermocouple Probes,TP120,TP120 Probes,,,,,,,,,,,,
a0Ka000000CRh3rEAD,Thermocouple Probes - Salt Bath - SBP Set 1,Salt Bath,Thermocouple Probes,SBP1,SBP Set 1,,,,,,,,,,,,
a0Ka000000CKpCqEAL,Thermocouple Probes - Salt Bath - SBP Set 2,Salt Bath,Thermocouple Probes,SBP2,SBP Set 2,,,,,,,,,,,,
a0K1O00000iikwFUAQ,"Thermocouple Probes for SAT at Max Aero - N/A - 259096A, 259096B, 259096C",N/A,Thermocouple Probes for SAT at Max Aero,MASAT,"259096A, 259096B, 259096C",,,,,,,,,,,,
a0K1400000QGe5OEAT,"Thermocouple Wire Set - ""J"" Iron-Constantan - ENV1","""J"" Iron-Constantan",Thermocouple Wire Set,,ENV1,,,,,,,,,,,,
a0K1O00000V32ubUAB,"Thermocouple Wire Set - ""J"" Iron-Constantan - High Temp J","""J"" Iron-Constantan",Thermocouple Wire Set,,High Temp J,,,,,,,,,,,,
a0Ka000000CKNtyEAH,"Thermocouple Wire Set - ""J"" Iron-Constantan - J01-J24","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ01,J01-J24,,,,,,,,,,,,
a0Ka000000CKpAkEAL,"Thermocouple Wire Set - ""J"" Iron-Constantan - J101-J110","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ10,J101-J110,,,,,,,,,,,,
a0Ka000000CKpCWEA1,"Thermocouple Wire Set - ""J"" Iron-Constantan - J111-J120","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ11,J111-J120,,,,,,,,,,,,
a0Ka000000CIz1jEAD,"Thermocouple Wire Set - ""J"" Iron-Constantan - J201-J214","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ20,J201-J214,,,,,,,,,,,,
a0Ka000000CKNt0EAH,"Thermocouple Wire Set - ""J"" Iron-Constantan - J301-J314","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ30,J301-J314,,,,,,,,,,,,
a0Ka000000CKp5zEAD,"Thermocouple Wire Set - ""J"" Iron-Constantan - J501-J514","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ50,J501-J514,,,,,,,,,,,,
a0Ka000000CKpABEA1,"Thermocouple Wire Set - ""J"" Iron-Constantan - J601-J610","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ60,J601-J610,,,,,,,,,,,,
a0Ka000000CKpBiEAL,"Thermocouple Wire Set - ""J"" Iron-Constantan - J701-J710","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ70,J701-J710,,,,,,,,,,,,
a0Ka000000CKNtUEAX,"Thermocouple Wire Set - ""J"" Iron-Constantan - J801-J816","""J"" Iron-Constantan",Thermocouple Wire Set,TWJ80,J801-J816,,,,,,,,,,,,
a0K1O00000V32vAUAR,"Thermocouple Wire Set - ""K"" Chromel-Alumel - High Temp K","""K"" Chromel-Alumel",Thermocouple Wire Set,,High Temp K,,,,,,,,,,,,
a0Ka000000CKp8UEAT,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K01-K16","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK01,K01-K16,,,,,,,,,,,,
a0K1400000QmhLYEAZ,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K101 - K110","""K"" Chromel-Alumel",Thermocouple Wire Set,,K101 - K110,,,,,,,,,,,,
a0Ka000000Cz2m9EAB,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K201-K214","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK20,K201-K214,,,,,,,,,,,,
a0Ka000000CKNtoEAH,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K301-K314","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK30,K301-K314,,,,,,,,,,,,
a0Ka000000CKp7CEAT,"Thermocouple Wire Set - ""K"" Chromel-Alumel - K401-K416","""K"" Chromel-Alumel",Thermocouple Wire Set,TWK40,K401-K416,,,,,,,,,,,,
