Column1,Customer,Furnace,Concatenated Reference,Address Line 1,Address Line 2,Address Line 3,Form Number:,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Intergral,Derivative,Other 1,Other 2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,Furnace Lookup,,,,Customer,Address Line 1,Address Line 2,Address Line 3,Form Number,Calibration Method,Tolerance Source,Item,Model Number,Serial Number,Unit Number,Class,Range,Tolerance,Heating Method,Working Zone Size,Cubic Feet,Cal. Interval,Controller,Cont S/N,Cont Tol.,Recorder,Rec S/N,Rec Tol.,Furnace Specific Comments,Test Location,Oven Location,Condition,PB,Integral,Derivative,Other 1,Other2,Fine Print,Check Rec,Load,Lag Limit,Recovery Limit,,Customers,,AssetPoolId,
1,AAR Component Services-Wellington,L-0866,AAR Component Services-WellingtonL-0866,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,CURING OVEN,GRIEVE AG-1250,400005,L-0866,Unassigned,200°F/800°F,±25°F,ELECTRIC,"48"" X 36"" X 30""",30,6 Mo,PARTLOW 1400,84945014029,±2°F,Honeywell DR4200,9510Y520330600002,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,1,0,0,Arset 5,ct1 16,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,ABSOLUTE DIMENSIONSOven No. 1,,,,"=CONCATENATE(Main!D5,Main!D6)","=VLOOKUP($AP2,$D2:$AK977,2,FALSE)","=VLOOKUP($AP2,$D2:$AK977,3,FALSE)","=VLOOKUP($AP2,$D2:$AK977,4,FALSE)","=VLOOKUP(AX1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(AY1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(AZ1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP($AP2,$D2:$AK977,8,FALSE)","=VLOOKUP(""ManufacturerPartNumber"", ClientAsset[], 2, FALSE)","=VLOOKUP(""SerialNumber"", ClientAsset[], 2, FALSE)","=VLOOKUP($AP2,$D2:$AK977,11,FALSE)","=VLOOKUP(""Class"", ClientAsset[], 2, FALSE)","=VLOOKUP(BF1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BG1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BH1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BI1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BJ1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BK1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BL1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BM1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BN1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BO1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BP1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BQ1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BR1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BS1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BT1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(""Condition"",ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BV1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BW1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BX1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BY1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(BZ1,ClientAssetAttributes[],2,FALSE)","The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.","=VLOOKUP(CB1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(CC1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(CD1,ClientAssetAttributes[],2,FALSE)","=VLOOKUP(CE1,ClientAssetAttributes[],2,FALSE)","=MATCH(Main!D$5,B$2:B$500,1)",=customers[CompanyName],,620646,
2,AAR Component Services-Wellington,L-1172,AAR Component Services-WellingtonL-1172,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,BAKE OVEN 995539,BAYCO CB 150G,995539,L-1172,Unassigned,375°F,±25°F,GAS PROPORTIONAL,"54"" X 54"" X 64""",108,6 Mo,HONEYWELL UDC2000,16W53C4000003626618,±2°F,HONEYWELL DR4300,C4000000166863,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,2,1,0.05,cyc ti 5,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF2-1,"3P PROCESSING, INC.",,,
3,AAR Component Services-Wellington,L3091,AAR Component Services-WellingtonL3091,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,MINOR REPAIR OVEN,GRIEVE 333,311244,L3091,Unassigned,150°F/400°F,±10°F,ELECTRIC PROPORTIONAL,"33"" X 31"" X 35""",20.7,6 Mo,HONEYWELL UDC 2300,9951Y944519200005,±2°F,HONEYWELL DR4300,1121Y191772500002,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,1,0.1,1.11,cyc to 15,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF3-1,A & J CLEANING,,,
4,AAR Component Services-Wellington,L-5078,AAR Component Services-WellingtonL-5078,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,CURING OVEN,GRIEVE NTR-1000,106456A0612,L-5078,Unassigned,300°F/1000°F,±25°F,ELECTRIC,"11"" X 24"" X 20""",3.1,6 Mo,WATLOW EZ-ZONE,5684,±2°F,HONEYWELL DR4300,C4000000217014,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,40,1,450,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF4-1,A Plus Lawn Sprinklers,,,
5,AAR Component Services-Wellington,L-5080,AAR Component Services-WellingtonL-5080,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,PENETRANT DRYING OVEN,GOULD-BASS D-306,116010,L-5080,Unassigned,145°F,±25°F,ELECTRIC PROPORTIONAL,"32"" X 68"" X 36""",45.3,6 Mo,CHROMALOX 1600,11.2,±2°F,N/A,N/A,N/A,,On-Site,PRODUCTION - Tested on Site,Used,3.2,1.4,0.25,RL 50,RH 170,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF5-1,"A.W. BRUEGGEMANN CO., INC.",,,
6,AAR Component Services-Wellington,L-5081 (ASSET #N00076),AAR Component Services-WellingtonL-5081 (ASSET #N00076),411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,CURE OVEN,GRIEVE N-B-350,450931,L-5081 (ASSET #N00076),Unassigned,150°F/350°F,±10°F,ELECTRIC ON/OFF,"26"" X 23"" X 15""",5.2,6 Mo,OMRON E5C2*,L-5081C,*,HONEYWELL DR4300,C4000000243280,±2°F,*Non Indicating controller. Confirmed capability to maintain specified tolerance.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF6-1,AAA AIR SUPPORT,,,
7,AAR Component Services-Wellington,L-5082,AAR Component Services-WellingtonL-5082,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Specification,DRYING OVEN,JPW 500 MAX,1017,TAS L-5082,UNASSIGNED,150°F/450°F,±25°F,ELECTRIC PROPORTIONAL,"44"" X 58"" X 80""",118,6 Mo,YOKOGAWA UT150,T1L213509,±2°F,HONEYWELL DR4300,C4000000457825   1331,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,22,137,34,Ct 30,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF7-1,"AADFW, INC.",,,
8,AAR Component Services-Wellington,L-5084,AAR Component Services-WellingtonL-5084,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,"CURING,DRYING OVEN",GRIEVE AG-650,390366,L-5084,Unassigned,145°F/400°F,±15°F,ELECTRIC PROPORTIONAL,"36"" X 48"" X 36"" ",36,6 Mo,Autonics TCN4L,L-5087 Controller,±2°F,HONEYWELL DR4300,1028Y08669140002,±2°F,,On-Site,PRODUCTION - Tested on Site,Used,2.5,0,10,Arset .2,Ct1 8,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF8-1,AAR COMPONENT SERVICES - WELLINGTON,,,
9,AAR Component Services-Wellington,L-5128 (ASSET #N00147),AAR Component Services-WellingtonL-5128 (ASSET #N00147),411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,CURE OVEN,GRIEVE LR271C,633775,L-5128 (ASSET #N00147),Unassigned,160°F/450°F,±15°F,ELECTRIC ON/OFF,"12"" X 11"" X 13""",0.99,6 Mo,Integral Dial,N/A,*,HONEYWELL DR4300,16W36C4000003551466,±2°F,*Non Indicating controller. Confirmed capability to maintain specifed tolerance.,On-Site,PRODUCTION - Tested on Site,Used,Unavailable,,,,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF9-1,"AAT AERO, INC.",,,
10,AAR Component Services-Wellington,L-5180,AAR Component Services-WellingtonL-5180,411 N. WEST ROAD,"WELLINGTON, KS 67152",,40100 Revision C 12-26-19,"JGI WP4100, AMS 2750H",Customer,Drying Oven,Grieve AA--650,330692,L-5180,Unassigned,145°F/400°F,±15°F,ELECTRIC ON/OFF,"24"" X 24"" X 24""",8,6 Mo,Honeywell UDC2300,9949Y944383600001,±2°F,Honeywell DR4300,L-0201 Recorder,±2°F,Recorder chart paper only scaled up to 500°F.,On-Site,PRODUCTION - Tested on Site,Used,100,0.1,0,cyc ti 15,,"The reported expanded uncertainty of measurement is stated as the standard uncertainty of measurement multiplied by the coverage factor k such that the coverage probability corresponds to approximately 95%. This estimate was performed in accordance with guidelines set forth in ANSI/NCSL Z540-2. The acceptance or rejection of the item(s) is based on the actual test values shown, without adjustment for measurement uncertainty. All testing performed using standards traceable to NIST or to intrinsic standards. This document shall not be reproduced except in full, without the written permission of Johnson Gage and Inspection.",,Empty,0:00:00,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,=CF10-1,"ABBOTT ALUMINUM, INC.",,,
