Name,Value
ServiceOrderId,1171585
ParentOrderId,
ClientLegacyId,
OwnerName,
SubmitedByName,JC
SignOffByName,
VendorSignOffByName,KE
ApprovedByName,
AcceptedByName,
ReadyForQualityControlByName,RB
QualityControlByName,QK
CreatedByName,JC
CompletedByName,KE
ShippedByName,
DeliveredByName,
InvoicedByName,KE
PaidByName,
CancelledByName,
ClosedByName,
ClientCompanyId,57283
ClientCompanyName,CHROME PLUS INT'L - WICHITA
ClientDomainName,chr57283.qualer.com
ClientAlternativeNames,
ServiceComments,
ServicePrivateComments,
CreatedOn,2024-12-13T09:31:11
ApprovedOn,
SignOffOn,
VendorSignOffOn,2025-04-28T11:06:56
CompletedOn,2025-04-28T11:06:56
SubmitedOn,2024-12-13T09:31:11
ShippedOn,
AcceptedOn,
ReadyForQualityControlOn,2025-04-22T12:55:30
QualityControlOn,2025-04-24T14:50:32
DeliveredOn,
InvoicedOn,2025-04-28T11:06:24
LastInvoicedOn,2025-04-28T11:06:24
PaymentDueOn,2025-05-28T11:06:24
PaidOn,
LateFeeOn,
CancelledOn,
ClosedOn,
LastUpdatedOn,2025-04-28T11:06:56
LastUpdatedBy,Kathy Ensey
SubmitedById,78659
SignOffById,
VendorSignOffById,78663
ApprovedById,
LateFeeById,
AcceptedById,
ReadyForQualityControlById,197393
QualityControlById,191651
CreatedById,78659
CompletedById,78663
ShippedById,
DeliveredById,
InvoicedById,78663
PaidById,
CancelledById,
ClosedById,
PoNumber,CHR001150
SecondaryPo,
ServiceTotal,262.75
RepairsTotal,0
PartsTotal,0
PartsTotalBeforeDiscount,0
PartsDiscountTotal,0
EffectiveTaxRate,
TaxAmount,0
ShippingFee,
TravelCharge,0
LateFee,
IsTaxExempt,True
ServiceDiscount,
TradeInCredit,
PrepaidCredit,
GrandTotal,262.75
PaidAmount,
RemainingBalance,262.75
ServiceDiscountDetails,
TradeInCreditDetails,
PrepaidCreditDetails,
PaymentNotes,
ServiceOrderNumber,67667
LegacyOrderNumber,
CustomOrderNumber,56561-067667
PaymentStatus,Invoiced
PaymentOption,PurchaseOrder
ShipmentStatus,OnSite
OrderStatus,Completed
OwnerId,
OwnerDepartment,
ClientSite,Main Location
ClientSiteCode,
VendorSite,Main Location
Internal,False
Guid,d782c89c-6374-47d0-b55c-a89f3fa2f65b
BusinessFromTime,
BusinessToTime,
SiteAccessNotes,
DesiredDate,2025-03-18T15:30:00
DeadlineDate,2025-03-18T15:30:00
RequestFromDate,
RequestFromTime,
RequestToDate,
RequestToTime,
OrderNotes,
BillingAddress,[Record]
ShippingAddress,[Record]
