SerialNumber,AssetTag,AssetId,LatestServiceRecordRaw
12799,RAD1,1235344,outputs('Compose')
29531,T2,1235555,
355114,PRG3,1235388,
806337,J2,1235682,
807408,J1,1235426,
807409,K4,1235686,
807705,J3,1235630,
808004,N2,1235561,
808005,K5,1235543,
808173,K6,1235622,
1611086,FC9,1235403,
1880060,FC6,1235569,
2266208,FC13,1235743,
3101177,FC18,2550412,
4029712,FC15,1446161,
9482035,FC19,2701517,
9491050,FC17,2336905,
9546011,FC14,1235639,
9728087,FC7,1235626,
,FC10,1235522,
,,,
,ENV101 SET,1235770,
,,1235767,outputs('Compose')
,,1235772,outputs('Compose')
,J00SET,1235660,
,J100SET,1235502,
,J111SET,1235505,
,J200SET,1235646,
,J300SET,1235659,
,J500SET,1235504,
,J600SET,1235506,
,J700SET,1235510,
,TWJ80,1235590,
,THG25,1235489,
,K00SET,1235508,
,K100SET,1235777,
,K200SET,1235400,
,K300 SET,1235661,
,K400SET,1235507,
,,,
,K520SET,1235500,
,K600SET,1235509,
,K700SET,1235498,
,K800SET,1235401,
,K900SET,1235402,
,T4,1235610,
,,,
,N00SET,1235673,
,N100SET,1235526,
,N20SET,2635568,
,RCK1,1235345,
,SAT1,1235444,
,SBP1,1235564,
,SBP2,1235501,
,T100SET,1235704,
,T15,1235563,
,T16,1235428,
,test,2822437,outputs('Compose')
,THG19,1235598,
,THG22,1235517,
,THG23,2822784,
,THG4,1235416,
,TP120,1235503,
,,1235768,outputs('Compose')
,,1235769,outputs('Compose')
,N/A,1235540,outputs('Compose')
