,,,,Change Log of TUS Excel Worksheet,,,,,
,,,,,,,,,
Version:,,Worksheet:,Date:,Change:,Change made by:,Requested by:,,,
12b,,N/A,2013-05-20 00:00:00,Added Change Log,Keith Poulos,Matt Coleman,,,
,,Standards_Info,,Added TN 283372,,,,,
,,,,Added TN 59179AT,,,,,
12c,,Standards_Info,2013-05-30 00:00:00,Added DAQBOOK J3,Keith Poulos,Josh Kiefer,,,
12d,,TUS_Worksheet,2013-06-04 00:00:00,Fixed T/N cell to remove deg F,Dave Conour,Dave Conour,,,
12e,,Access Data,2013-09-05 00:00:00,Fixed High Cells 1-9 to match others,Josh Kiefer,Josh Kiefer,,,
13,,Interp,2013-11-11 00:00:00,Complete Rework of Formulas to = Lab,Josh Kiefer,Josh Kiefer,,,
13a,,Standards_Info,2013-12-04 00:00:00,Added K5 and N2 and new T/N ,Josh Kiefer,Dave Conour,,,
13b,,Main,,Removed down lists on T/N cells,Matt C/Josh K,Pyro,,,
13c,,Main,,Re locked cells,Keith Poulos,Keith,,,
13d,,Main,2013-01-29 00:00:00,Added Formlua for Daqbook T/N,Josh Kiefer,Josh Kiefer,,,
14,,Main,2014-03-19 00:00:00,Lag Time - added code for <2 minutes,Josh Kiefer,Josh Kiefer,,,
,,Main,2014-03-19 00:00:00,Changed Daqbook T/N Formula,Josh Kiefer,Josh Kiefer,,,
,,Standards_Info,2014-03-19 00:00:00,Changed Daqbook N to N1 to match ID,Josh Kiefer,Josh Kiefer,,,
14a,,Main,2014-05-14 00:00:00,Changed Daqbook T/N Formula,Josh Kiefer,Josh Kiefer,,,
,,Data Sheets,2014-05-14 00:00:00,Added color coded conditional formatting,Josh Kiefer,Josh Kiefer,,,
,,Main,2014-05-14 00:00:00,Recovery Time will now go to certs,Josh Kiefer,Josh Kiefer,,,
15,,Main,2014-06-18 00:00:00,Recovery Time auto calculates,Josh Kiefer,Josh Kiefer,,,
2015-03-13 00:00:00,,ALL,2015-03-13 00:00:00,"Renamed change log, verified VBA, changed version nomenclature",Johnny Vogt,,,,
8/26/2015,,ALL,2015-07-31 00:00:00,Added Load Type and Recalculated Recovery Time ,Keith Poulos,Matt Coleman,,,
10/9/2015,,ALL,2015-10-09 00:00:00,"Added Temps on Main Page for High and Low, Added New Interp Sheet, New Password",Keith Poulos,Ed Johnson,,,
10/29/2015,,ALL,2015-10-29 00:00:00,Fixed multiple issues per Josh's testing,Keith Poulos,Josh Kiefer,,,
11/3/2015,,Main,2015-11-03 00:00:00,"Automated the SAT tolerance based on Uniformity tolerance, and AMS/BAC selection box",Johnny Vogt,Ed Johnson,,,
12/22/2015,,All,2015-12-22 00:00:00,"Fixed DB correction factors, fixed conditonal formatting",Keith Poulos,Josh Kiefer,,,
1/4/2016,,All,2016-01-04 00:00:00,Code now unlocks the worksheets that need to be changed,Keith Poulos,Josh Kiefer,,,
1/26/16,,Data Sheets,2016-01-26 00:00:00,Added Load Hot Statement and added High Limit Test Statements,Keith Poulos,Scott Porter,,,
1/27/16,,Data Sheets/Inter,2016-01-26 00:00:00,Fixed Spelling Error and Limited Inter to 1 decimal place,Keith Poulos,Scott Porter,,,
1/28/16,,Access_Data,2016-01-26 00:00:00,Takes into consideration a missing point,Johnny Vogt,Josh Kiefer,,,
2/4/16,,Code,2016-02-04 00:00:00,Bug Fixes,Keith Poulos,Josh Kiefer,,,
2/9/16,,Code,2016-02-09 00:00:00,"Fixed High / Low, added Time ",Keith Poulos,Josh Kiefer,,,
2/17/16,,Access_Date,2016-02-17 00:00:00,Low deviation calculation fix,Johnny Vogt,Josh Kiefer,,,
2/18/16,,Access_Data,2016-02-18 00:00:00,"Fixed High / Low, fixed Points out of Tolerance",Keith Poulos,Keith Poulos,,,
3/1/16,,Code,2016-03-01 00:00:00,Added new DB CF Rounding and Points Offset for multiple Oven use in Single Test,Keith Poulos,Josh/Scott,,,
03.03.2016-01,,"Access_Data, Data_Sheets",2016-03-03 00:00:00,"Added calc for Recovery for Sim Load Hot, Aligned color formatting, Added K6 S/N",Keith Poulos,Pyro,,,
03.04.2016-01,,Code,2016-03-04 00:00:00,Fixed Error code that checks to see if both boxes are checked for offsets,Keith Poulos,Josh,,,
03.18.2016-01,,Main,2016-03-18 00:00:00,Added Print to PDF Button,Keith Poulos,Keith Poulos,,,
03.22.2016-02,,Module,2016-03-22 00:00:00,"New code for Bankers Rounding. Underline Survey Data Depending on Survey Time 10, 30, 40. Bug Fixes",Keith Poulos,Scott Porter,,,
03.28.2016-01,,Code,2016-03-28 00:00:00,Changed the code to make sure that if the test temp is exactly the same as the wire test temp it will work,Keith Poulos,Josh Kiefer,,,
04.13.2016-01,,Uncertainties,2016-04-13 00:00:00,Updated the uncertainties ,Scott Porter,Scott Porter,,,
04.14.2016-01,,Code,2016-04-14 00:00:00,Added the new rounding system - translated Johnny's formula into VBA,Keith Poulos,Scott Porter,,,
04.15.2016-01,,Access_Data,2016-04-15 00:00:00,Fixed the missing formula in point reporting section,Keith Poulos,Josh Kiefer,,,
04.19.2016-01,,Access_Data,2016-04-19 00:00:00,"Changed the formula so that it doesn't stop checking at 90 lines, goes to 900 lines",Keith Poulos,Josh Kiefer,,,
04.21.2016-01,,Code,2016-04-21 00:00:00,Fixed rounding code so that Round will be to 1 digit,Keith Poulos,Josh Kiefer,,,
04.22.2016-01,,Code,2016-04-22 00:00:00,Fixed Midpoint calcuation so that it worked on the last number tested for daqbooks,Keith Poulos,Aaron Wells,,,
07.20.2016-01,,Formulas,2016-07-20 00:00:00,Fixed Recovery time over 60 minutes & Removed Page Number from Data Sheet,Keith Poulos,Scott Porter,,,
07.28.2016-01,,Rounding,2016-07-28 00:00:00,Rounded recovery time and lag time to remove decimals,Keith Poulos,Josh Kiefer,,,
09.14.2016-01,,TUS_Worksheet,2016-09-14 00:00:00,Fixed Pointer to TN on TUS Worksheet,Keith Poulos,Scott Porter,,,
10.27.2016-01,,Main,2016-10-27 00:00:00,Recovery Time Cell,Josh Kiefer,Josh Kiefer,,,
01.02.17-01,,"Access_Data, Main",2016-12-08 00:00:00,"Error in overtemp cell range, Version nomenclature changed year from 4 digit to 2 digit to match C sheet",Josh Kiefer,Josh Kiefer,,,
8.25.17-BETA,,New Sheets,2017-08-25 00:00:00,Added Salesforce interactions,Keith Poulos,Keith Poulos,,,
10.02.17-01-BETA,,Salesforce_Data,2017-09-29 00:00:00,Added code to check for duplicate use of wires and added high temp wire info,Keith Poulos,Keith Poulos,,,
11.02.17-01,,"Salesforce_Date, Main",2017-11-02 00:00:00,Added three fields for Salesforce Cert,Keith Poulos,Scott Porter,,,
11.03.17-01,,"Main, Standards_Info",2017-11-03 00:00:00,Added dropdown list for Condition,Keith Poulos,Josh Kiefer,,,
01.23.18-01,,Main,2018-01-23 00:00:00,Fixed validation for Operator and fixed vba code when company is deleted.,Keith Poulos,Keith Poulos,,,
02.12.18-01,,Code,2018-02-12 00:00:00,Fixed rounding code so that midpoint uses Qround,Keith Poulos,Scott Porter,,,
02.26.18-01,,Code,2018-02-26 00:00:00,Fixed Rounding code so that the math is correct - excel issue,Keith Poulos,Scott Porter,,,
05.04.18-01,,Standards_Info,2018-05-04 00:00:00,Revised K421 to 12 points,Josh Kiefer,Josh Kiefer,,,
08.17.18-01,,"Main,Salesforce Data, PC",2018-08-17 00:00:00,"Added Set Point in addition to test temperture, changed reference cell, added letters to report no. ",Josh Kiefer,Scott Porter,,,
09.12.18-01,,"Main, Comparison Sheet",2018-09-12 00:00:00,Added decimals to SAT tolerance and calculations above 1000°F,Scott Porter,Scott Porter,,,
10.01.19-01,,Access Data,2019-09-30 00:00:00,Fixed wrong calculations of max temp when negative and more than 14 points,Josh Kiefer,Scott Porter,,,
10.18.19-01,,Code,2019-10-18 00:00:00,Fixed pts 29-40 check box pulling pts 15-24 correction factors.,Josh Kiefer,Josh Kiefer,,,
2.24.20-01,,New Sheets,2020-02-25 00:00:00,new sheets added for excel certs,Scott Porter,Scott Porter,,,
3.17.20-01,,Main,2020-03-17 00:00:00,"T/N formula changed for M and Q daqbook, added CERT tab to Print macro,",Josh Kiefer,Josh Kiefer,,,
10.23.20,,"Header Info, Main, Cert",2020-10-23 00:00:00,New table for customers and ovens.,Scott Porter,Scott Porter,,,
6.10.21,,Access_Data,2021-06-10 00:00:00,Updated uncertainties,Scott Porter,Scott Porter,,,
7.01.21,,Code,2021-07-01 00:00:00,Removed Banker's Rounding,Josh Kiefer,Scott Porter,,,
9.16.21,,Code,2021-09-16 00:00:00,Changed daqbook excel file lookup,Josh Kiefer,Josh Kiefer,,,
12.14.21,,"Header Info, Comp Read",2021-12-14 00:00:00,"Displaying/Rounding tolerances with decimal points above 1000°F, Cont Done by customer for CPI",Scott Porter,Scott Porter,,,
12.6.23,,Cert,2023-12-06 00:00:00,"Added auto-calc and report of DaqBook points 15-28, 29-40 usage.",Scott Porter,Scott Porter,,,
4.10.24,,"Main, Packet Content, Cert",2024-04-10 00:00:00,"Removed Page Number entry on Main and Cert, Removed Report Number from Packet Content, added Packet content to Packet Content and added Quality Approval.",Danny Turkali,Johnny Vogt,,,
4.12.24,,"Main, Standards_Info",2024-04-12 00:00:00,"Removed Fluke selection from Main, Removed Fluke info from Standard Info, Added and removed inspectors from standard info",Danny Turkali,Johnny Vogt,,,
