traceability_no,-50.0,200.0,450.0,70.0,250.0,500.0,700.0,950.0,1000.0,1200.0,1450.0,1700.0,1850.0,1950.0,2200.0,1250.0,800.0,900.0,-100.0,0.0,400.0,1550.0,2000.0,30.0,100.0,300.0,150.0,-30.0,74.0,120.0,165.0,210.0,225.0,375.0,350.0,600.0,750.0,1100.0,-90.0,75.0,645.0,775.0,850.0,625.0,870.0,920.0,985.0,1060.0,1080.0,1400.0,1600.0,1800.0,125.0,-40.0,32.0,895.0,50.0,1350.0
011391A,0.1,0.5,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391B,0.4,0.5,-0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391C,0.2,0.6,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391D,,,,-0.6,-0.6,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391E,,,,-0.5,-0.7,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391F,,1.3,1.1,0.6,,,1.0,1.6,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391G,,1.2,1.1,0.6,,,0.9,1.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391H,,1.3,1.3,0.6,,,1.1,1.6,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391I,,1.3,1.3,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391J,,1.4,1.6,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
011391L,,0.6,1.3,,,,1.6,0.9,,-0.1,1.8,-0.1,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
