traceability_no,nominal_temp,correction_factor
059078F,70.0,0.3
059078F,200.0,0.1
059078F,450.0,0.6
059078G,70.0,-0.1
059078G,250.0,0.3
059078G,500.0,1.0
061486E,70.0,0.0
061486E,200.0,-0.2
061486E,450.0,-0.4
065908F,-50.0,-0.3
065908F,200.0,-0.5
065908F,450.0,-1.3
065908H,-50.0,-0.3
065908H,200.0,-0.5
065908H,450.0,-1.4
065908J,70.0,0.2
065908J,200.0,-0.5
065908J,450.0,-0.8
065908K,70.0,0.2
065908K,200.0,-0.5
065908K,450.0,-0.8
065908L,70.0,0.1
065908L,200.0,-0.7
065908L,450.0,-0.9
065908M,70.0,0.2
065908M,200.0,-0.5
065908M,450.0,-0.5
072513A,-50.0,1.1
072513A,200.0,0.9
072513A,450.0,1.1
222680,-125.0,-0.1
222680,-100.0,0.3
222680,0.0,0.7
222680,100.0,-0.4
