asset_id,serial_number,asset_tag,custom_order_number,service_date,next_service_date,certificate_number,wire_roll_cert_number,type,Min,Max
1235770,ENV101,ENV101 SET,56561-071864,2025-03-31 00:00:00,2030-03-31 00:00:00,56561-071864-01,,ENV,-100,450
1235660,J01-J24,J00SET,56561-073368,2025-04-28 00:00:00,2030-04-28 00:00:00,56561-073368-01,,J,-50,450
1235502,J101-J110,J100SET,56561-074047,2025-05-01 00:00:00,2030-05-01 00:00:00,56561-074047-01,072513A,J,-50,450
1235505,J111-J120,J111SET,56561-070496,2025-02-20 00:00:00,2030-02-20 00:00:00,56561-070496-01,0659081,J,-50,450
1235646,J201-J214,J200SET,56561-073749,2025-04-30 00:00:00,2030-04-30 00:00:00,56561-073749-01,072513A,J,-50,450
1235659,J301-J314,J300SET,56561-072594,2025-04-11 00:00:00,2030-04-11 00:00:00,56561-072594-01,0659081,J,-50,450
1235504,J501-J514,J500SET,56561-070802,2025-03-03 00:00:00,2030-03-03 00:00:00,56561-070802-01,065908H,J,-50,450
1235506,J601-J610,J600SET,56561-072486,2025-04-08 00:00:00,2030-04-08 00:00:00,56561-072486-01,0659081,J,-50,450
1235510,J701-J710,J700SET,56561-068076,2024-12-20 00:00:00,2029-12-20 00:00:00,56561-068076-01,065908F,J,-50,450
1235508,K01-K16,K00SET,56561-072938,2025-04-18 00:00:00,2030-04-18 00:00:00,56561-072938-01,065908L,K,70,450
1235777,K101 - K110,K100SET,56561-069476,2025-01-30 00:00:00,2030-01-30 00:00:00,56561-069476-01,061486E,K,70,450
1235400,K201-K214,K200SET,56561-072936,2025-04-18 00:00:00,2030-04-18 00:00:00,56561-072936-01,065908J,K,70,450
1235661,K301-K314,K300 SET,56561-072769,2025-04-16 00:00:00,2030-04-16 00:00:00,56561-072769-01,,K,70,450
1235507,K401-K416,K400SET,56561-072935,2025-04-18 00:00:00,2030-04-18 00:00:00,56561-072935-01,065908J,K,70,450
1235500,K521-K534,K520SET,56561-073271,2025-04-11 00:00:00,2030-04-11 00:00:00,56561-073271-01,065908K,K,70,450
1235509,K601-K610,K600SET,56561-072762,2025-04-16 00:00:00,2030-04-16 00:00:00,56561-072762-01,065908K,K,70,450
1235498,K701-K710,K700SET,56561-068803,2025-01-10 00:00:00,2030-01-10 00:00:00,56561-068803-01,065908L,K,70,450
1235401,K801-K816,K800SET,56561-072770,2025-04-16 00:00:00,2030-04-16 00:00:00,56561-072770-01,059078F,K,70,450
1235402,K901-K910,K900SET,56561-073279,2025-04-11 00:00:00,2030-04-11 00:00:00,56561-073279-01,061486E,K,70,450
1235673,N01-N16,N00SET,56561-073254,2025-04-28 00:00:00,,56561-073254-01,065908M,N,70,500
1235526,N101-N112,N100SET,56561-068124,2024-12-23 00:00:00,2029-12-23 00:00:00,56561-068124-01,059078G,N,70,500
2635568,N21-N34,N20SET,56561-064450,2024-09-24 00:00:00,2029-09-24 00:00:00,56561-064450-01,059078G,N,70,500
1235704,T101-T108,T100SET,56561-071907,2024-12-17 00:00:00,2029-12-17 00:00:00,56561-071907-01,222680,T,,
1235767,High Temp J,,,,,,,J High,70,1000
1235772,High Temp K,,,,,,,K High,200,1850
1235768,Ultra High Temp K,,,,,,,K Ultra High,700,2200
1235769,Ultra High Temp N,,,,,,,N Ultra High,700,2200
