Name,Value
assetId,1276494
assetMaker,Despatch
assetName,"DESPATCH RS4HD Temperature Uniformity Survey, 10 points"
assetTag,W-CPI-3049
categoryName,Thermometer
certificateNumber,56561-069975-01
clientCompanyId,57283
manufacturerPartNumber,RS4HD
productManufacturer,Despatch
productName,DESPATCH RS4HD Oven
purchaseOrderNumber,CHR000515
rootCategoryName,Thermometers
serialNumber,70773
serviceOrderId,1202979
Condition,USED
Range,100 °F/400°F
Tolerance,±2°F
Tolerance Source,AMS2750G
Work Procedure,WP4100
